ceni_site_vote_ID,latitude,longitude,source
100952,-4.4012643,15.327504,Google API
100956,-4.378177,15.318152,Google API
100963,-4.3755157,15.32188,Google API
100969,-4.378177,15.318152,Google API
200010,-4.322979,15.316579,Google API
200020,-4.3424921,15.278449,Google API
200021,-4.3697706,15.340862,Google API
200036,-4.345236,15.283791,Google API
200045,-4.347642,15.205946,Google API
200222,-4.3037766,15.298915,Google API
200299,-5.8236278,13.456852,Google API
200661,-5.1396805,15.055275,Google API
200664,-4.3494632,15.238611,Google API
330091,-4.3697706,15.340862,Google API
330092,-4.3967674,15.314181,Google API
610014,-1.6939155,29.23922,Google API
610954,0.1312732,29.288213,Google API
610982,0.1327338,29.289167,Google API
610993,0.1309011,29.293721,Google API
710002,-11.7003777,27.487157,Google API
710008,-10.9847547,26.741474,Google API
710019,-11.7003777,27.487157,Google API
710020,-11.7003777,27.487157,Google API
710046,-11.6912315,27.47809,Google API
710047,-11.6997175,27.48249,Google API
710053,-11.6996768,27.479292,Google API
710055,-11.6996768,27.479292,Google API
710056,-11.6996768,27.479292,Google API
710063,-11.6585452,27.478481,Google API
710065,-11.6460982,27.447031,Google API
710066,-11.7123019,27.469847,Google API
710070,-11.6419304,27.51999,Google API
710098,-11.670165,27.482881,Google API
710355,-11.6385666,27.535376,Google API
710357,-11.6401977,27.481661,Google API
810021,-6.1423856,23.624671,Google API
810022,-6.1423217,23.624734,Google API
910800,-11.644959,27.485974,Google API
910802,-11.644959,27.485974,Google API
100905,-4.4067519,15.291398,Google API
710018,-11.6830274,27.48973,Google API
710045,-11.6449479,27.486096,Google API
710049,-11.6449479,27.486096,Google API
710082,-11.6367188,27.47838,Google API
100024,-4.3282592,15.317182,Google API
100267,-4.416401,15.370363,Google API
100324,-4.3282592,15.317182,Google API
100334,-4.4061731,15.395898,Google API
100399,-4.4061731,15.395898,Google API
100407,-4.3282592,15.317182,Google API
100425,-4.4089762,15.412304,Google API
100438,-4.3540317,15.299417,Google API
100475,-4.4118199,15.410095,Google API
100494,-4.4099126,15.372898,Google API
100495,-4.3509348,15.238442,Google API
100519,-4.3252204,15.320069,Google API
710067,-11.7074142,27.467865,Google API
